CID10 CATEGORIA;Total_2021
Total;1830419.0
Capítulo I: Algumas doencas Infecciosas e parasitárias (A00-B99);135433.0
A00:Colera;61.0
A01:Febres Tifoide e Paratifoide;4.0
A02:Outras Infeccoes por Salmonella;5.0
A04:Outras Infeccoess Intestinais Bacterianas;20.0
A05:Outras Intoxicacoes Alimentares Bacterianas;2.0
A06:Amebiase;19.0
A07:Outras Doencas Intestinais por Protozoarios;5.0
A08:Infeccoes Intestinais Virais, Outras e as Nao Especificadas;10.0
A09:Diarreia e Gastroenterite de Origem Infecciosa Presumivel;154.0
A15:Tuberculose Respiratoria, com Confirmacao Bacteriologica e Histologica;4483.0
A16:Tuberculose das Vias Respiratorias, sem Confirmacao Bacteriologica ou Histologica;1529.0
A17:Tuberculose do Sistema Nervoso;61.0
A18:Tuberculose de Outros Orgaos;304.0
A19:Tuberculose Miliar;99.0
A22:Carbunculo;4.0
A23:Brucelose;2.0
A25:Febres Transmitidas por Mordedura de Rato;1.0
A26:Erisipeloide;15.0
A27:Leptospirose;82.0
A28:Outras Doencas Bacterianas Zoonoticas Nao Classificadas em Outra Parte;4.0
A30:Hanseniase [Doenca de Hansen] [Lepra];1556.0
A31:Infeccoes Devidas a Outras Micobacterias;41.0
A32:Listeriose [Listeriase];2.0
A35:Outros Tipos de Tetano;7.0
0;1.0
A38:Escarlatina;1.0
A39:Infeccao Meningogocica;15.0
A40:Septicemia Estreptococica;12.0
A41:Outras Septicemias;240.0
A42:Actinomicose;6.0
A43:Nocardiose;1.0
A44:Bartonelose;6.0
A46:Erisipela;1821.0
A48:Outras Doencas Bacterianas Nao Classificadas em Outra Parte;49.0
A49:Infeccao Bacteriana de Local Nao Especificado;166.0
A50:Sifilis Congenita;2.0
A51:Sifilis Precoce;20.0
A52:Sifilis Tardia;64.0
A53:Outras Formas e as Nao Especificadas da Sifilis;27.0
A54:Infeccao Gonococica;4.0
A55:Linfogranuloma (Venereo) por Clamidia;1.0
A56:Outras Infeccoes Causadas por Clamidias Transmitidas por Via Sexual;2.0
A58:Granuloma Inguinal;3.0
A59:Tricomoniase;2.0
A60:Infeccoes Anogenitais Pelo Virus do Herpes [Herpes Simples];16.0
A63:Outras Doencas de Transmissao Predominantemente Sexual, Nao Classificadas em Outra Parte;17.0
A64:Doencas Sexualmente Transmitidas, Nao Especificadas;1.0
A66:Bouba;12.0
A67:Pinta [Carate];1.0
A68:Febres Recorrentes [Borrelioses];8.0
A69:Outras Infeccoes por Espiroquetas;10.0
A70:Infeccoes Causadas por Clamidia Psittaci;1.0
A75:Tifo Exantematico;1.0
A77:Febre Maculosa [Rickettsioses Transmitidas por Carrapatos];11.0
A79:Outras Rickettsioses;1.0
A80:Poliomielite Aguda;6.0
A81:Infeccoes por Virus Atipico do Sistema Nervoso Central;24.0
A85:Outras Encefalites Virais, Nao Classificadas em Outra Parte;13.0
A86:Encefalite Viral, Nao Especificada;44.0
A87:Meningite Viral;41.0
A88:Outras Infeccoes Virais do Sistema Nervoso Central Nao Classificadas em Outra Parte;2.0
A89:Infeccoes Virais Nao Especificadas do Sistema Nervoso Central;2.0
